Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-01,17.732,18.38,17.45,18.026,21634500,0.0,0.0
2019-11-04,18.15,18.548,18.1,18.378,10547500,0.0,0.0
2019-11-05,18.298,18.514,18.204,18.328,10033000,0.0,0.0
2019-11-06,18.328,18.716,18.15,18.622,9775500,0.0,0.0
2019-11-07,18.724,18.99,18.444,18.834,8661500,0.0,0.0
2019-11-08,18.884,19.318,18.822,19.246,9071000,0.0,0.0
2019-11-11,19.104,19.642,19.044,19.19,9937000,0.0,0.0
2019-11-12,19.412,20.016,19.354,19.998,12256000,0.0,0.0
2019-11-13,19.844,20.066,19.754,19.934,5280500,0.0,0.0
2019-11-14,19.866,20.17,19.816,20.024,5579000,0.0,0.0
2019-11-15,20.264,20.328,19.964,20.308,6584000,0.0,0.0
2019-11-18,20.21,20.87,20.13,20.768,9753000,0.0,0.0
2019-11-19,20.886,21.104,20.808,21.014,6828000,0.0,0.0
2019-11-20,20.99,21.2,20.416,20.49,10456000,0.0,0.0
2019-11-21,20.544,20.704,20.472,20.604,6671000,0.0,0.0
2019-11-22,20.672,20.866,20.582,20.762,7502000,0.0,0.0
2019-11-25,20.858,21.064,20.79,21.028,5101500,0.0,0.0
